tweet,sentiment,emotion,class
yrs kalichu IV ponapo beach ponen pona August uh ipo marubadi craving for Beaches        Oru Thallosophile ah mountain area la iruka vekranga,0,0,0
Dei ennamo nee matum ambalai dra mair pesitu iruka en veetku varavan lam avala  Okkama  Ponathey illa,1,1,1
Vijay appan sonnathu neyabagam iruka,0,1,1
Paakurathuku paakava iruka,1,0,1
Dai yaara ketu da ivanunga kuda sparing potutu iruka ne,1,1,1
Yaruya intha comedy piece photo va thukitu suthutu  adei potta  unaku tha vekam manam ila   hathuku elathuku irukathu nu nenaikatha  na la Ajith fan ah thalaya kuda katta mate  vekam ye ilama tweet potute iruka,1,1,1
Eluthu oru nala vella kedaikurathu kula iruka velaya vidamatan nu eluthu,0,1,0
Bayangara Sombaaa iruka ya neee Un kaatulaaa malathaaaa,1,0,1
Gaaji ya vum Iruka,1,1,1
Iyyappa  Thambi ne inga thaan irukiya   ennaya un follow senji vechi iruka,1,1,0
FZ  Ethuku vekka padanu perumaiya solluven da ak fan Nu ak nadika theriyamala mela vantharu funda   paavam nee enna pannuva   avan olunga movie select panni naduchu iruntha avan yen ippadi   peru fan oda iruka poran,0,0,0
h  S         En heart la iruka open panava door ah,0,0,0
one of the worst food delivery partners  they are clubbing the orders who lives nearby and delivering food which causes delay in service  Change this crap and don't think that ppl r fool enough to do again  Idhula vera pakkathula iruka veetuku delivery chg,1,1,0
Andavar with his hairstylist Pradeep Nissanka Nish    Theeya iruka yaaaaa KamalHaasan Indian,0,0,0
sharath         Yena ulaga kuppa varisu iruka mothu athu kooda ethaiyum eedu sekka mudiyaathu,0,1,1
Yenga ooru olu vangi porantha devudiya maganey naa paatuka summa fun Aha thana pottan avnga cmt la nee enna devudiya athu ithukura ippadi tha Unga aatha vum road la pora enna v kulla kuptu unna petha athey maari nee UM iruka,1,1,1
Paadra ungalkye     rs na   Adha ketutu  inum uyiroda iruka engalku evolo,1,1,1
youthwing  Chennai  Innuma da oppari vachuttu iruka kothadima   Ungamma Gopalapuram kudumbathuku kundi kaluvi mudichittu veetuku varuva  Wait pannu,1,1,1
Perfecttwitz  Intha thandam engayu iruka matan athula,1,1,1
Idha dhan sonen sarkar la vara mari vitu iruka hair style nu,0,0,0
Space ilama than irukuradha Potrukan Space Vekka yaaru Ungoppana Space Kudupan    Lokesh Oda Carrer Best Kandipa Kaithi Than  Selva Odathu Ao Masterpiece Than  Idhu Rendume Unaku Therilana Inga yenathuku Mmbitu iruka,0,1,0
Ipo nee enna oombi iruka devudiya funda magan,1,1,1
Cr illama D movies Irundhuchu Atha vechu than Haters Aadidu pesidu irundhanunga Ippo Athum Vara start aaeiduchu      Kadharite iruka poringa da          Dhanush  Vaathi Sir CaptainMiller,0,1,1
neelambari Pls poi thoongu  Medicines naala nalla thookam Varum  Don t strain your eyes  Phone ah vechutu dhayavu senju thoongi rest edu   twitter n naanga inga dan iruka porom   Pls take good rest,0,1,0
Gomtha Onnumey Upto datela iruka maatre yaaruda neenga   CookWithComali Upload panuraaa,0,1,0
Nybagam iruka  AK,0,0,0
Dineshh     Reply panirye punda puluthi la potu dha pesuviya    un dp la iruka potta ajith nenachiya ipdila pesa,1,1,1
Tamil la iruka,0,0,0
off Enna da zombies kuda senthu bit padam eduthu vachirkingala  Atha kuda vittu vaikama Mandi pottu iruka pola,1,1,1
joel Pondaati iruka kelatu pundaya,1,1,1
Aana onnu da kothadima   Unga annanum neeyum orey vidham    Rendu perthukum romba chinnadhu   unga Annan paravalla kasu iruku polachikuvan   nee paaru ipdi aadu naaye nu  mbittu iruka,1,1,1
Aana romba pavam da nee   ungamma um vittutu poita   nee ipdi anadhaya twitter la pora vara aambala pasangala ella   mba kooptutu iruka,1,1,1
Edhu oru aattu kutty ah kooda vittu vaikalaya da  Romba kaanju poi iruka da kothadima  Oru nalla potta naaya   ya kalyanam kattiko   Adada adhuku andha potta naaye othukumanu theriyalaye   pulu size ah yaaru kattikuva sollu,1,1,1
Devil   Unala ungomma pendala    suma ooompidre iruka ajith msg vandale    poi angudu ooompugada thevudia pasangala,1,1,1
Devil   Yenda koothi manasthchi ilama poi puluguraiga nu theatre owners soldrainga nium pee pulugura   atha vidu sunni motho unaku adutha vela soru iruka collection pundaya pathi pesura   poi pee thunudu anna modulation pathu kai adichukoo,1,1,1
Nambala suthi aalunga irunthalum thanimai ah iruka mari feel panni irukingala sir,0,1,0
Gopalapuram veetla kundi kaluvi vitutu iruka kothadima   Olunga kaluvi Vidu illada kallalaye adichu ooda vitruvaanuga,1,1,1
Oh ho   ungammavoda koo va kilichadhu neethana   Gopalapuram veetla unnapathi complaint pannitu iruka  Nee evlo avasara pattalum ungamma late ah thanda varuva  Naa dhan sonnala  ava Gopalapuram veetla kundi kaluvuradhula busy ah irukanu  Wait pannu night uh varuva,1,1,1
is a hooman neraya seasons vera  iruka adhula,0,0,0
Siva Yennaya panitu iruka,0,1,0
Hasini maari  ipo iruka ponunga  cringe tha   panuvanga so  parama poi velayapathu urupada paaru cinema nadike mathiri iva venum ava venumnu solama      Dhanush na bless u annaya,0,1,0
Inna mame epadi iruka,0,0,0
aji Ena dimps   kushia iruka,0,0,0
Adei namma tamil sentiments mathri avangalukum Antha sentiments iruka da  even rishabhshetty  rishab denied to do this during his interviews  Cringe ku use panitu irukanunga adei  Cringe guy Pugazh  CookuWithComaliSeason  Kantara  Don t ruin sentiments and kill comedy,0,0,0
prasann Una Dan kalaika mudium enaku Vera yar iruka guys la friends,0,0,0
Anbuoffl Adhan ni book padichittala yen D fan ah iruka,1,1,0
Yoww   nee ajith fan ah Rajini fan ah    mentalans maari pesitttu iruka,1,1,1
Alien     Enna magane olaritu iruka,1,1,1
Devil    Anathama poi palvadi la poi alunga da dummy piece thayoligala    beast varisu nu soothadi vangide ungaluku monna punda pechu vera   pee moola iruka payaluga polampuga da nala,1,1,1
Eppovum thititu irupa inaiku sogama iruka adhaan,0,1,0
Epdra iruka,0,0,0
Village areas la iruka theatres lam  innaiku than Dada va release yea panranunga Innum   or   weeks solid ah Odum   Kavin Dada,0,0,0
Ithu enga Ivar iruka planet la ya,0,0,0
dmk  Apa dmk admk rendu perum velayaduringa mmm sari nengatha avanga konduvanthatha stop pannunga avanga open pannanga avanga open pannanganu solitu iruka,0,1,0
Watha ET Trailer Views Song views lam Pota oru Kulla Naainga Kuda Uyiroda Iruka Mattinga,1,1,1
mano    Dai unaku vera velaye ilaya da epdi da epa pathalum twitter layum iruka veetla TV um pakara OTT um pakara velai ku elam poraya ilaya  ila twitter la Rajini ku muttu kuduka soli unaku salary ethum tharangala   Ne podra tweet elam pathale yaru da Ivan paithiyam nu tha thonuthu,1,1,0
Kaathunu iruka,0,1,0
Apdiya  Even though I know many people who liked Vikram more than Kaithi and it has proofs like the highest collection movie of lokesh's direction and also in rating wise Vikram got more and highly impressed by many people  Un ista mayiruku pesuna ketutu iruka mudiyathu da baadey,0,0,0
vohra Innumada nambitu Iruka,1,1,1
little  Anniyan Average ah  Yamma enna ma sollitu iruka,0,1,0
Ungalala nalla irukanum     But ungala vida nalla iruka kudathuu    real life fact Dada,0,1,0
Eppa dei ennada ella padathulayum iruka,0,0,0
Off  Ama sollitaru          unga skin enna steel ah senchuvachu  iruka    naanga thirumpa  adichalum ungaluku pazhuthukum,1,1,1
little  Beast below average dhan  Romba biased a iruka koodadhu bro,0,1,0
SK     avi nash   Kartikeyan   fc  TFC  kuti      kamal name ila   yenda avara add panala     Yy haters nu caption la pottu Iruka la bro ipdi than teva ilatha vela panna haters varuvaanga,0,1,0
amalapaul  Dusky Amala   ennama iruka dusky katta,1,1,1
DEI WATCH PARTY IRUKA,0,0,0
Shriya  Super ah iruka,0,0,1
inthankena koothi twitter vittu poita naadu azhingiruma  enna twitter ivanala tha iruka pola   iva twitter irukarathukum DMK ethuku aaampidu irukanunga  kiruku koovainga,1,1,1
Kgf pathu Copy pani lusu tha na ma eadu thu vachi Iruka ga   enga orula release aagi   day's na nu en friend pona ga aporam one more person    peru tha ticket vagu na ga Ava Padam poda mata nu soli ta    Micheal atha ticket ah runbabyrun ku mathi vitu ta theater Kara,0,1,0
Birow link iruka,0,0,0
offcl Nala iruka,0,0,0
Enada ithu Saamiya iruka getup ah comali show la vachu  cookwithcomaliseason  No comparison required on the original   But ithu theva ilatha aani again from Vijay tv shit,1,1,1
Olunga paaru Unga amma THa Unga v la iruku amma va pannura alavuku gaaji la iruka,1,1,1
Jeichite iruka mudiyaathu ella time um ella seriya pogathu peak paatha actors  legends eh flop kuduthu irukanga  Thatti vidu,0,0,0
Nala iruka,0,0,0
Neelambari Pls poi thoongu  Medicines naala nalla thookam Varum  Don t strain your eyes  Phone ah vechutu dhayavu senju thoongi rest edu   twitter n naanga inga dan iruka porom   Pls take good rest,0,1,0
Ponnu iruka va,1,0,1
Nan inga dan irukan andha moodevi vara mata d whatsapp la dan active ah iruka anga vena gc create pannu,1,1,1
Oru fan oru light tha iruka veetla,0,1,0
manoj  Ora sombu mayama Iruka pola Manoj,1,1,1
Setha kiliku koondu edhuku da potta  Gopinath ngra pera oombinath vachuko  Eana already nee Gopalapuram veetla athana pannitu iruka,1,1,1
Chedii paki epadi iruka busya phone edukala,0,0,0
pulikesi     Adapavigala  Nallavey iruka matanunga,1,1,1
Epdi iruka man  Paathu romba naal aachu,0,0,0
en ex ena mayir ah kuda mathikala ava purushan kuda jollly ah ava early mrg days ah enjoy panitu iruka,1,1,0
Already reverse gear lo iruka better than ps,0,0,0
Mamae move on pannu ya   aththan bad story nu neeyae sollitiyae innuma antha ponnukaga feel pannitu iruka,0,1,0
Ivala la patha iva la paka theva ila   paru paka   mari Iruka ga,1,0,1
NS    Torrent link iruka,0,0,0
Bro wrk la iruka speaker vara mudiyathu,0,1,0
Ethu maari pesitae iruka oru doli elaiyae  lover nu kuda venam our frnd aa kuda oru doli ela,0,1,0
En pa     Ipdi walking vandhutu    Fast food sapdringale epdi pa healthy ah iruka mudiyum  Nanga walking vandhdhe idha sapdadhan,0,1,1
Tweets  Athu iruntha nee yen Ajith ku fan ah iruka pora,1,1,1
Ithu dhan indha thittathoda flip side   Varushathula ella naalum vayal velai iruka porathilla   Overall ah season time illadha naatkal ah pathu indha     days schedule panna yarukum problem irukathu,0,0,0
Athey tha nanu kekuran    peru maari iruka Unga appan maari illa ithula oru Kelvi Nu thukkitu vara Unga appan ta Unga aatha ta intha Kelvi ketta eppadi iruku nalaiku unnakey mrg agala apo ippadi ketta unnaku eppadi irukj,1,1,1
Enga iruka korangu,1,1,1
azeem Unga  offl anna ooru la iruka girls id ha pathu intha mathri azeem support panni abusive panna sonnara ha  Sollu pa kettudalam  Suriya va tag pannithan kekuran,1,1,0
Evalo cuts tha vachu iruka,0,0,0
off     Iruka naala thaan solren D kaprm STR thaan   athan bitter truth,0,1,0
Maturity to Mee Dei nan vanthathuku apramum nee apdethaan iruka,0,1,1
They removed this promo will remove this content for sure tomo  Adei namma tamil sentiments mathri avangalukum Antha sentiments iruka da  even rishabhshetty denied to do this during interviews Cringe ku use panitu irukanunga Cringe guy Pugazh  CookuWithComaliSeason  Kantara,1,1,1
ShwetaMohan   Idhu full song iruka,0,0,0
arjundas Enga vetu pakathula iruka clg tan,0,0,0
Raguram Nee solradha yaaru kekaranu twitter la oppari vachuttu iruka dance master   Nee evankooda searndha engaluku enna,1,1,1
Naa ipo varaikum pussy na poonai nu tha nenachen     Yen vera ethavathu iruka,0,0,0
Vetrimaran poola poitiya da     tc vaathi ungoppan vetrimaran ah eduthan   intha oolaiye pudichi inum oompitu iruka  vera ethachum eduthutu vanthu en zip ku vaai vai en poola un vaai ulla vitu aaturan,1,1,1
Jathu Unga kita irukadhadha na engakitalam iruka pothu,1,1,1
Na vaathi oda tshirt la iruka puliyoda kannadi ya paakuran    vikku mari kannadi pootu irukeyyyy,0,0,0
Off Inga iruka poruki thinra Ella trackers naingalukkum soru pottu valakira periya nai vijaynrathu unakku theriyala pathiya,1,1,1
BALA   Yaara nee Mutta bunda Maari Pesitu Iruka  Avan Avanuku Ethu Pudichi Iruko Atha Than Vilayduvanga Loosu Bunda Maari Pesitu Iruka,1,1,1
Pinkvilla post iruka bro,0,0,0
Adei madaiya kooli velai ku Vara vadakkan's elaarum   madam kalichu unnoda akka thangachi chai ah parichi kola panitu jolly ah Avan oru ku poi settle aagiduranga   Ni muttu koduthutuu iruka   sangiSpotted,1,1,1
queen na character nalladhaan irundhu aganu  illena yaru respect panuva  queen na ve iruka modiyadhe   i cannot stop tactics  good tactics may also be there  until i know whats tactics,0,1,0
dmk  Pacha sangi ipo atchi la yaru iruka  TASMAC ellam mudiyacha  Kothuadimai Vella nalla pakura,1,1,1
in Link iruka,0,0,0
nan Kadariey saavuda jaari veri tayoli   Eppadiey kadari kadari seeman ku suttu nakkitu iruka vendiyatu taa,1,1,1
Ipo problem illa macha     Athaan ne iruka     x machi irukaan    Alien    intha chinna koothiyan irukaan   onum problem illa,1,1,1
This guy  tamilnadu la Iruka matha Ella theatre la um nee venum na neraiya collect pannirkalam aana intha   theatre la naanga than di      Jailer,0,0,1
k Dai Ara mental enga post la nan pannalam da nee than sanghi dalda dappa veiche ketu Inga suthitu iruka  Enna annamalai jiii product Vera level mutta piece ha iruku,1,1,1
S    Aish fanclub la vacancy iruka,0,0,0
Cruise off   Oho  Ada dei love naa ivlo public ah iruka koodaathu privacy varaikum kaatitu  Ivan handle la nerayaa ponunga photo iruku poi paaru,1,1,1
kamaraj Vote podatha bro unagaluku pudikalana   dmk matrum athan tholamai katchikum nexr time   yaru ithukulam serethu poraduvangalo avunga kuda travel panuga  nan en thalivar mela iruka patrula polambitu irukan,0,0,0
Adei padma inu oditi iruku nu katuna  ni etho rohini ah vachu pesitu iruka   matutavani boys    th day le leading agi mothama gali agi inu comments epdi ya paniriga   vekam ila  next film ku promotion ah,1,1,1
High end products ku thaan ads la rate sollamataanga like benz  audi   Orae brand car  normal maruti ads la rate irukum  nexa ads la rate irukaathu Phone ex  iphone    ku rate poduvan aana    max pro ku pottu iruka maatan,0,1,0
Enna sachin bro enna mariye iruka,0,0,0
Aprm s  pakkamaiya s  papanga ennada mutta thanama pesitu iruka,1,1,1
dmk Dei kothadimai Naya manasache ilama pesatha    ne tha atchi iruka enga raththu panu parom    mudiyathu ila,1,1,1
So cool     Vaathi kannadiyum tshirt la iruka kannadiyum same to same   Vikraman  VaathiVikraman,0,0,0
Una madri actually iruka mudyadu theryuma    You trust and love everyone    Romba deep ah avangala analyse pani judge panradhu illa   You behave based on what you see  apo apo influence mattum aidra  But neeya mudivu pana you like people for who they are,0,0,0
Shuffle aagi iruka,0,0,0
vfc  bro replay pandrathala than eppadi pottu iruka  avanuku comments la athikamma varuthu  adutha  tweets ku ethu react pannama irungalan avannea poiduvan,0,1,1
Rajini vijay mutual evanum iruka mattan,1,1,1
Mams yendha season pathutu iruka,0,1,0
Un vaaila rubber vechutu iruka pesama oombitu irundhiya ajith madhiri eh irukinga potta aatam,1,1,1
perk Enga da iruka,0,1,0
Brother   apo Iruka nelama vera   ipo Iruka nelama vera   business inum apdiye va iruku    big star ooda movie epo epidi vandhalum oru MG irukanum   adhu ipodhiku Vijay ku matum dhan iruku IMO   best eg  beast,0,0,1
Nanba already neenga solrathala panitutha iruka but no use,0,1,0
Gnabhakam iruka enna,0,0,0
Me to me   Silanal Nalla jolly ah iruka  Sila nall sogama iruka  Purinjiko machan Love yourself,0,0,0
vachitu naane vaangalam iruka go ahead,0,1,0
expiry   Adiyae AK thatha innum ha da usiroda iruka neeyalam,1,1,1
Avanum adhe dhan vara maatan vandhalum effective ah iruka matan,1,1,1
Arumaiyana uruttu   antha report varadum athukutha nangalum waiting   unga munchula kariya poosa    orediya polampiday iruka kudathu,1,1,1
Intha Mathiri ipo oru Movie pananumnu aasa irukum but mudiyathu Avara suthi Iruka Business antha alavuku agiduchu,0,1,0
Ajithian   Ithuku pinadi iruka arasiyal romba peru   Already ne keta kelvilaye evlo koomutanu theriyuthu   Ini peasurathu waste     unaku etha mari karaikudi pakathuna kanadukathala irunthu evanachun varuvan avan kuda peasitu iru   mute,0,1,1
Nee enga pa iruka athula,0,1,0
SK   adhu ponna iruka vaaipu illa bro    yetho fake,1,1,0
percent nalavana laam iruka vena atleast keezha potu methikama irukalam,1,1,0
thangam Subaa   Ivangaluku puriya veingalen   Ne urupuda matanu soldrathu vera   Road la iruka nai ha kulipati nu mention pandrathu vera    athu purinja than ungaluku ena sola varanganu theriyum   Concern iruku than ana atha avan entha parvai la vechirukan ndrathu mukiyam,0,1,0
BindhuR  Ne thedum nenjam naanaga iruka koodatha,0,1,0
Eluthu temporary happiness vachu santhosama iruka mataenu eluthu,0,1,0
Pinnadi Iruka Pani ah vida bright ah iruka thala,0,0,0
Modi oda fake propaganda kum intha erode bye election kum enada samantham  anga iruka makkal komutta nuh nenachu pesuringala   ipo Samantha ilatha topic neenga thaya pracharam panringa,0,1,0
h I always love you    kalailaye edo kadupa iruka pola,0,1,0
Kitchen la kooda women dominance iruka koodathu nu Cooking kathukuravan than da unmayana Misogynist,0,0,0
ethana states pathu iruka,0,0,0
Introvert nu bio la change pannala iruka,0,1,0
Job vacancies Iruka sollunga akka,0,1,0
Dei loosu Anga Brahmins irunthanganu than solren   avarum athan ketaru   loosu mathiri pesitu iruka,1,1,1
Full record iruka,0,0,0
Joker DC la ipdi yethum Iruka,0,0,0
Veera Simba Reddy tamil la iruka,0,0,0
Eagle     RithiVJ  Na iruka,0,0,0
Muthumai kaaranama naanum sasikalavum court ku varamudiyaadhu nu vaaidhaa ketadhu     maraindavargalai thappa pesakoodadhunu irundhaalum   neenga chumaa iruka maatringq,0,1,0
Lokesh      Bro indha paiya oda page link Iruka bro    Vera level sambavam pannirukaru    Subscribe panna and avaroda more videos pakka  wait pandra,0,0,0
Apdi oru katchi iruka,0,0,0
Thank you   NCD la lock in period iruka  Can I withdraw in between  One more doubt is that income is taxable,0,0,0
Ne enna maithuku arasiyala iruka ne panu,1,1,1
Nee innum irukumbodhu naanga iruka enna,1,1,1
Man   Insta account innum active ah iruka,0,0,0
Tharani   VTK Nayabagam Iruka  Epdi Tha VTK Audio Launch La STR Vararunu Producer  Ku Tata Kattikittiu Irunthom,0,0,0
Off  Nee ipdi la sonna mattum sottayana polakaama iruka poradhu ila  Jailer varatum  aprom dhan main adiye iruku,1,1,1
Ellam pics la iruka date paatha theriyum  ni oru agmark aamai nu  Leo,1,1,1
Unaku family la iruka,1,1,1
ABISHTU D Ku Kunju Iruka,1,1,1
nerdy   Dei echa   Thaalvu thailee   Pesran paaru pechu   Silra koodhi nu nee pesradhulaye teridhu   Una ellam vechiruka vendiya edathula crct ah vechirukanum   Adhan aditu iruka   Konjam poru,1,1,1
Oorula iruka elaarayum vambuluthu sanda seirathu Aprm Twitter vara maten solitu thirumba vanthu depression status podrathuku  Life ah paaru bro    Real life persons kita mingle aagu  inga verum than varum,0,1,0
Naduvula   nu pottu iruka la musk paiyan name um indha maari dha number oda varum adha doubt,0,1,0
Iva epdi iruka pachiya solunga,1,0,1
Twitzz  Twitzzzzz  Unaaa apadi sumaa iruka vituduvomaa naanga ingaa vaa d unaku iruku,1,1,1
please fix twitter da mixture vaaya  nalla kutharkama tweet ah poduviye ipo enna paninu iruka,0,1,1
Yow ne ennaya vanmatha kakkitu iruka unaku pudicha nadigar ra kondadu ya   en innum ipadi irukinga,1,1,1
Intha nambikai ilathanala thaney avunga thanichu iruka palagitanga   oru murai sudu pata manam epadi bayam ilama thirumba antha uravukulla poga ninaikum avalo easya ellathiyum maranthutu,0,1,0
anbue   Arunvj    baanu  jasmin        JD        Unga tweet error    Celebrity iruka vendiya iduthala small ur varum broww,0,0,0
Thoothukudi ku ethum vela iruka,0,0,0
INDvsAUS   Australia won  Great match    India played well but win panni iruka vendia match,0,1,0
Naanu paathan  Tdy dha iruka idhu,0,1,0
VK     azeem  Eppa nenga than fame pitchai edu ka vanthu tu Inga ollaritu iruka  Fame pitcahi eduthu thu Unga azeem fans than pa,1,1,1
Inga iruka vendiya aaley ila da nee,0,1,1
TeaShop open pannu bro  IT Companies Adhigama  Iruka Side  Neeye Ukandhu Vela Paaru    Then Neeye Raaja Even Yaaraiyum Edhir Paakama Olacha Nalla Padiya Irukalam,0,0,0
expiry   Nee poranthathu vera oru pundai ku unga anna vijay poranthu oorula ellarum othu thaaa potanthaan unga appan ulagathula iruku ellarum othathu la poranthaaa nee unga amma va othu un thambi poranthaa un thangachi sevvai kerakathula iruka aliens porathaaa da ulaga thevidiya family,1,1,1
Lawrence  vasu oda touch ithula iruka  scene,0,0,0
kuzhals   Except few  age la maturity ah iruka vaipilla   andha few also will get maturity based on experience in short span of exposure to variety of humans Now it's probably due to digital yugam more exposure is happening to children,0,0,0
Enda epa pathalum thaniyave iruka  Na thaniya illa da ena thaniya aakitanga,0,1,0
SK  Yow summa iruya already kaalailaye ippadi tweet pannaa  ippo nee vera ippadi pannitutu iruka,1,1,1
offl Yow epdiya mayonnaise pidikama oru piravi iruka mudiyum Naan hotel ponaley mayo enga unlimited nu pathu dhan povaney,1,1,1
Mutta pasangala  Reincarnation  concept iruntha athu Mahadheera va      Apa love concept iruka padam ellam Alaipayuthey va  Story and screenplay matters  Setha anathaama kedanga da clownu kyooties,1,1,1
Aaana onnu   trophy adicha MI kooda ivlo thenavetta iruka maatainga,1,1,0
Innaiki match fullave TeamIndia oda fielding romba mosama iruku     st innings mudichitu dressing room la enna pesuvanga    especially Semi Finala iruka appo  staraikelungal starsportstamil,1,1,1
VK   azeem  Innum ha da bb content hae urritu iruka eppa nenga romba danger pola,1,1,1
Indha pic Hd Iruka,0,0,0
VK  azeem  Unagala mathri fame pitchai eduka mattom da dalda dappi  Iruka fame hae pothum  Meikura thu eruma ithula enna perumai unaku,1,1,1
moodi tu iruka pondati ni deserve panle da   pilla,1,1,1
Athu padi iruka kudathu mams audio launch la apo tha ithu perusa therinchu irukum,0,0,0
RockySk Road la poravan ta vangi kudichu kudichu munnadi pregnant ara alavuku veengi iruku pola seri seri Gundu koothiyan enamo hit kuduthu nakkuna maari inga vandhu nakkitu iruka,1,1,1
kmr   VK  azeem  Yaru da ambi gif la viku kanniyan veshathula iruka madrilay iruko,1,1,1
RockySk Tamilnadu thanduna yaru nu teriyathavan la tier list laye iruka matan daaa Pesama dalaya bike vlog panna sollu intha vayasu athu mattum tha mudiyum gundu pundaiku,1,1,1
Wikipedia la lam indha movie Parthi iruka a,0,0,1
Deii boomer kulla proof proof nu pesura nee unga appa amma ku tha poranthanu prooof iruka thailleeee,1,1,1
RockySk Arivu ketta punda pesa teriyama CP panitu suthitu iruka chiii odi poda punda mavane,1,1,1
azeem   Aprm yaen da en tweet la kadhirutu iruka lusu vittu poga vendiyathan hae,1,1,1
muzhu chandramukhi ya maari iruka nama Rajesh ah parunga,1,0,1
avi nash   kitty Appo nee edhuku vro iruka,1,1,1
Nee ean kothadima oppari vachuttu iruka   Adhu avanga katchi oda personal matter,1,1,1
Na summa irunthalum   ne summa iruka mata macha,1,0,0
avi nash  Ayalaan lam release aavum nu nambikka iruka na,0,1,0
Maaveeran Ayalaan SK   SK VP      padam kanaku crct ah iruka,0,0,0
meedhi iruka moonu padatha vida kammiya dhan bro pudikum,1,1,0
Dei Netflix iruka,0,0,0
thala itha dhan nee   masama sollitu iruka  i really admire your political knowledge,0,0,0
Athu therinja naanga yen ya amaithiya iruka porom  apdi therinju iruntha twitter top trending la irunthukum    Epotha announcement varum,1,0,0
Raja rajacholzaroda perana pa nee ila entha natuku raja va iruka,0,0,0
Failure story nu potathala than padikave start panna success nu potu iruntha paduchu iruka matan  Yappavume failure story la than oru interest iruku,0,0,0
erode east election area la iruka ellarukum ithe mathri  Raja  life than DMK kudukuranga nengalum ponga ungalukum kedaikum   Election varaikum nengalum Raja   than,0,0,0
Nee eanda oppari vachuttu iruka kothadima   Adhu avanga personal matter,1,1,1
Maharaja Ne inum polaya  kolaichutey iruka biscuit venuma,1,1,1
surya    Tweets  Enada Sound Matum Kekudhu Aala Kaanum Anil Punda Dai Enga Iruka,1,1,1
Nallarkum na  Oru   pasanga iruka gang  kola seira Vela   oru payan amaithi hero    ponnu ooma  heroine   Ivanga rendu perayum sethu vaika frnds try panni sanda vanthu sethuduvanga  hero avangala kola pana poi sethuduvan  Antha ponnu thaniya railway station la wait pannum,0,1,0
rg  Athu epdi da katchi la iruka ellarume ivlo thathi ah irukinga varalaru kooda teriyama first poi athelam terinjutu vandhu aprm     rs ku naaka thonga potu thiringa ipdi,1,1,1
tweetz WWE paakran pola avlo vettiyavaa da iruka,1,0,1
SemayA iruka,0,0,0
Enga area la elar veetlayu garden maintain panuranga  Iruka konjam place la,0,0,0
T    nataraj   Adhu onu dhan iruka   vera ilaya,0,1,0
Enga side Keka vendiya avasiyame illa Bro    Andha page arambichadhula irundhu pona Superstar bday varaikkum ungalukku support thana panitu irundhuchi andha page    Oru limit ah thandi pona    followers Iruka id oo    k Iruka id ohhhh  React Pani dhan avanum,0,0,0
Bro brain la iruka vungaluku  Nethu chila release aagiruku so list la iruku  Athum views la patha eangala vida kammi ah tha irukum  Chuma vai eaduthu vanthuruvia bro  Paithiyama Ivan ngra feel tha varuthu vuna paatha Leo,1,1,1
Unga fans in quotes ' adhu Ajith ah sonaru ' Neenga ' Suriya nu sandhegam '  Yaarra vena irukatum   aana athu vijay ah Iruka kudathu   ipdidhan Iruku neenga pandrathu,1,1,1
En manasula iruka barame koranjuruchu,0,0,0
Rajini ku blockbuster iruka,0,0,0
Maharaja Dey yen da naai maari pinadiye vandhu reply panitu iruka    dha chi po,1,1,0
Thiruttu theeviravadha DMK la iruka nee pesadha pechada     Adipom  mbuvom nu pesitu Kadasila bayandhagoli DMK boys tweet ah delete pannitu ooduna kadhai ellam theriyadha,1,1,0
naan mean pannadhu en following la iruka SK mutuals ah other actor mutuals illa  Unwanted fight pannitu irundhanga,0,1,0
Edukuthu Heroic movie tamila iruka iruntha link venum,0,0,0
SK na cameo iruka illaya Rls date,0,0,0
Indha interview link Iruka,0,0,0
Nenga indha poster la mention panni iruka endha theater la yum booking open avala and movie podala    Total ah chennai full ah   show dhan pottu iruknaga     what's the issue    Ivalo mosama release na pathadthu Ila     Thugs,1,1,1
Graham potter   En magic iruka bayamen adutha stop ICU ward thaan,1,0,1
Maharaja Ne dha da vandhu kadharitu iruka Inga mental thayili   yen ipdi kadharura,1,1,1
Navv Danny anna Marvel movie lam iruka na   Periya aal poliye ne Singam,0,0,0
Emarurathuku makkal iruka varaikum pori namathu pogathu,1,0,1
Ithan ivanga kita iruka prachana   Ipo nee nalla irukurathala antha ponna avanga appa amma un kita irunthu pirichathu sarinu agidathu   anthaluku tq vera   nengale ipdi enathayachum nenachi manasa thethikurathukaga ipdilam lam potukitu irukurathu,0,1,0
Ipo lam yaru apadi iruka,0,1,0
umar    offll I don t think so velinaatukaran low cost labor demand iruka varaikum inga ela IT industry work aagite irukum,0,0,0
MA Fighter Id still iruka,0,0,0
Nice bro   anga Indian shops lam Iruka,0,0,0
Thevdiya payale  Link kaami da  Nee claim panrathuku proof iruka daa naaye,1,1,1
Modhala unaku neyavagam iruka ne yaru nu,1,0,1
En manasula iruka barame koranjuruchu  seri enga ipdi unpopular opinion solli oorula kadichi vekka poranga nu dhaan pesave illa,0,0,0
Gumunu iruka,0,0,0
Praveen   ithulam yaaru soldranu paatha  pathu thala oompu thala nu D fans kita poola oompitu iruka sombhu koothiyan fan oru poolum aatala ivanunga D ku competitor nu ooru fulla oompitu varanga ootha oru record mairum kedaiyathu keta D ku competitor nu D fans poola oompa vendiyathu,1,1,1
